ID,Delay
1,-129994505254.93036
2,-200066466772.7728
3,-200066466772.7728
4,-53864054792.30919
5,-82094627629.50862
6,-231307665336.4795
7,-229456228758.27203
8,-221665420107.4664
9,-136813202158.29799
10,-124039933461.69814
11,-76548175427.05771
12,-111160047923.58246
13,-103578769552.43555
14,-100762659890.85748
15,-102893943357.17662
16,-117726363375.18591
17,-111291133888.78319
18,-229456228758.267
19,-240669528951.38693
20,-92796626289.03642
21,-110328474594.53876
22,-100762659890.88057
23,-112109153868.2254
24,-82094627629.47504
25,-219521750030.35733
26,-302939407270.3638
27,-114054717988.46918
28,-114723077884.33147
29,-212703053126.99374
30,-102543339164.57303
31,-102543339164.57303
32,-103578769552.42528
33,-210159886415.4321
34,-105157263180.68742
35,-77512848510.42146
36,-56680164453.876976
37,-97110527287.97496
38,-210089129110.8985
39,-231307665336.4795
40,-269070031452.04282
41,-117726363375.18591
42,-108160548671.48912
43,-105157263180.66422
44,-105157263180.66422
45,-76477418122.54805
46,-114723077884.32748
47,-108160548671.5227
48,-128416011626.69139
49,-102158489903.91933
50,-268999274147.51694
51,-53959705209.607086
52,-110328474594.53876
53,-231236908031.96448
54,-212303556492.5776
55,-236854117538.91412
56,-79091342138.67334
57,-25024556862.117523
58,-117870129400.97832
59,-102614096469.1068
60,-105157263180.66422
61,-221665420107.46054
62,-98343078491.4524
63,-15662693247.193888
64,-54810155661.359825
65,-105157263180.68742
66,-101858512969.32434
67,-117726363375.15233
68,-173416985472.98376
69,-100762659890.87555
70,-102893943357.18689
71,-129994505254.93434
72,-100762659890.88057
73,-105157263180.66422
74,-94496603271.87967
75,-108160548671.5227
76,-124039933461.67493
77,-52266988949.76338
78,-233850832048.07895
79,-102543339164.5622
80,-305755516931.9316
81,-50415552371.567116
82,-102543339164.57303
83,-229456228758.2489
84,-102543339164.57303
85,-305755516931.942
86,-102614096469.07185
87,-102614096469.08812
88,-114723077884.32748
89,-136019576692.30324
90,-117870129400.97832
91,-124874511866.34381
92,-106656829207.82704
93,-102543339164.5622
94,-302939407270.38684
95,-98343078491.41881
96,-200066466772.77866
97,-113144584256.12898
98,-106656829207.82704
99,-212303556492.5428
100,-111975960083.99539
101,-102893943357.21712
102,-102543339164.5622
103,-101929270273.83943
104,-105157263180.66422
105,-176030909489.09824
106,-214846723204.13925
107,-103578769552.43555
108,-82094627629.47504
109,-130807173814.11078
110,-94567360576.3785
111,-210452119914.34653
112,-92796626289.03642
113,-110328474594.52069
114,-94496603271.86884
115,-117726363375.15233
116,-102614096469.1068
117,-229456228758.27203
118,-305755516931.97217
119,-117726363375.18591
120,-110328474594.54378
121,-125599901965.14668
122,-93761299372.36523
123,-74696738848.84334
124,-104472436985.41559
125,-305755516931.9316
126,-106656829207.82704
127,-111975960083.98958
128,-111975960083.99539
129,-232272338419.8167
130,-82094627629.50862
131,-102543339164.57303
132,-102543339164.5622
133,-310337296051.029
134,-260184872830.6736
135,-82094627629.47504
136,-52196231645.25379
137,-221665420107.46054
138,-221665420107.50284
139,-102614096469.1068
140,-51237640436.94435
141,-213268229575.9066
142,-85910039041.97546
143,-252786984050.02652
144,-102543339164.5622
145,-112179911172.73506
146,-221665420107.50284
147,-110328474594.53876
148,-212232799188.044
149,-74696738848.86642
150,-138562743403.90256
151,-176030909489.07907
152,-97110527287.97098
153,-92796626289.00148
154,-113144584256.12898
